,title,discounted price,brand,percent dicount,original cost,image link
0,Solid Men Black Track Pants,₹149,SAN TEE,62% off,₹399,https://rukminim1.flixcart.com/image/660/792/ksoz53k0/track-pant/7/p/j/xl-st-pla-men-t-pant-black-san-tee-original-imag67fuzks2rgxk.jpeg?q=50
1,Solid Men Grey Track Pants,₹149,SAN TEE,62% off,₹399,https://rukminim1.flixcart.com/image/660/792/ksoz53k0/track-pant/y/v/h/l-st-pla-men-t-pant-melange-san-tee-original-imag67fwxxmrh4gg.jpeg?q=50
2,Striped Men Grey Track Pants,₹168,Tee town,78% off,₹799,https://rukminim1.flixcart.com/image/660/792/kfyasnk0/track-pant/u/b/m/xl-lower-3line-black-m-tee-town-original-imafwaddn2ph8v2b.jpeg?q=50
3,Color Block Men Grey Track Pants,₹168,Tee town,69% off,₹549,https://rukminim1.flixcart.com/image/660/792/kgl5ua80/track-pant/a/z/c/m-lower-sidegulla-tee-town-original-imafwspfrgh9dxzv.jpeg?q=50
4,Striped Men Blue Track Pants,₹172,SKYBEN,80% off,₹899,https://rukminim1.flixcart.com/image/660/792/ki214sw0-0/track-pant/m/9/3/xs-sky-002-p-af-skyben-original-imafxxns2hbryzzg.jpeg?q=50
5,Solid Men Blue Track Pants,₹174,SKYBEN,80% off,₹899,https://rukminim1.flixcart.com/image/660/792/l1mh7rk0/track-pant/w/q/x/m-p-srib-af-skyben-original-imagd57tmnhgnfvd.jpeg?q=50
6,Color Block Men Blue Track Pants,₹175,HVBK,78% off,₹799,https://rukminim1.flixcart.com/image/660/792/kqwobrk0/track-pant/q/x/d/5xl-113ablue-hvbk-original-imag4tkgcxt64e9j.jpeg?q=50
7,Printed Men Grey Track Pants,₹175,HVBK,78% off,₹799,https://rukminim1.flixcart.com/image/660/792/kkec4280/track-pant/t/v/t/xs-116agrey-hvbk-original-imafzqzxhg9cpzz6.jpeg?q=50
8,Printed Men Grey Track Pants,₹175,HVBK,78% off,₹799,https://rukminim1.flixcart.com/image/660/792/kkec4280/track-pant/c/e/j/6xl-116adg-hvbk-original-imafzqzygrhazdb9.jpeg?q=50
9,Printed Men Grey Track Pants,₹175,HVBK,78% off,₹799,https://rukminim1.flixcart.com/image/660/792/kkec4280/track-pant/b/b/e/3xl-115adg-hvbk-original-imafzqzxkuskgnkd.jpeg?q=50
10,Printed Men Black Track Pants,₹175,HVBK,78% off,₹799,https://rukminim1.flixcart.com/image/660/792/kkec4280/track-pant/c/d/z/xl-116ablack-hvbk-original-imafzqzy2ekxjmfm.jpeg?q=50
11,Solid Men Dark Blue Track Pants,₹179,Prefrash,74% off,₹699,https://rukminim1.flixcart.com/image/660/792/kziqvm80/track-pant/u/g/8/m-solid-comfortable-men-plain-p-track-pant-casual-prefrash-original-imagbg8wzz6yjfnq.jpeg?q=50
12,Solid Men Black Track Pants,₹179,Prefrash,74% off,₹699,https://rukminim1.flixcart.com/image/660/792/kziqvm80/track-pant/a/d/0/xxl-solid-comfortable-men-plain-p-track-pant-casual-prefrash-original-imagbg8wrw9gwqvy.jpeg?q=50
13,Solid Men White Track Pants,₹185,Roxtar,69% off,₹599,https://rukminim1.flixcart.com/image/660/792/l2nmnww0/track-pant/x/i/e/s-9500-roxtar-original-imagdxgxnatqzhy6.jpeg?q=50
14,Solid Men Black Track Pants,₹188,Kaff,81% off,₹999,https://rukminim1.flixcart.com/image/660/792/kq2o2vk0/track-pant/3/7/e/s-mens-single-pcs-track-pant-058-kaff-original-imag45wuvagatg57.jpeg?q=50
15,Solid Men Dark Blue Track Pants,₹188,Kaff,81% off,₹999,https://rukminim1.flixcart.com/image/660/792/kq2o2vk0/track-pant/y/b/a/l-mens-single-pcs-track-pant-053-kaff-original-imag45wugmvycqgm.jpeg?q=50
16,Solid Men Blue Track Pants,₹188,Kaff,81% off,₹999,https://rukminim1.flixcart.com/image/660/792/kq2o2vk0/track-pant/h/k/s/m-mens-single-pcs-track-pant-051-kaff-original-imag45wuhbqxzs8r.jpeg?q=50
17,Solid Men Grey Track Pants,₹189,Niner,81% off,₹999,https://rukminim1.flixcart.com/image/660/792/ky1vl3k0/track-pant/t/b/5/l-niner134darkgrey-niner-original-imagadagcndy2zha.jpeg?q=50
18,Solid Men Black Track Pants,₹194,VANTAR,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/kxhvf680/track-pant/t/l/3/28-tra-pum-vantar-original-imag9x3qfm3gqct7.jpeg?q=50
19,Solid Men Dark Blue Track Pants,₹195,Prefrash,75% off,₹799,https://rukminim1.flixcart.com/image/660/792/kyj0vbk0/track-pant/f/s/w/m-solid-comfortable-men-plain-track-pant-casual-prefrash-original-imagaqvhgfxgqx2q.jpeg?q=50
20,Solid Men Blue Track Pants,₹197,FITNICK,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/klo27bk0/track-pant/d/5/j/34-lower-mens-wear-pant-stylish-cotton-fitnick-original-imagyqbyd5pzhvzt.jpeg?q=50
21,Solid Men Grey Track Pants,₹199,SR DESIGN,56% off,₹460,https://rukminim1.flixcart.com/image/660/792/l1b1oy80/track-pant/4/8/h/s-tr5550-s-sr-design-original-imagcwqhgmhrnc8j.jpeg?q=50
22,Solid Men Grey Track Pants,₹199,Salvo,71% off,₹699,https://rukminim1.flixcart.com/image/660/792/l2w7b0w0/shopsy-track-pant/h/w/w/28-75-salvo-original-image4ttspkgg5cw.jpeg?q=50
23,Solid Men Grey Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3bx5e80/track-pant/r/r/j/l-df1-air-force-asdf-original-imageh9r4b22afh5.jpeg?q=50
24,Solid Men Black Track Pants,₹199,Fabonbudget,50% off,₹399,https://rukminim1.flixcart.com/image/660/792/l1v1uvk0/track-pant/9/q/m/m-fab-lycra-black2-fabonbudget-original-imagdc2ay6yu8pzw.jpeg?q=50
25,Solid Men Blue Track Pants,₹199,blue dimand,66% off,₹599,https://rukminim1.flixcart.com/image/660/792/l2hwwi80/track-pant/n/c/e/l-track-pant-blue-blue-dimand-original-imagdtrbhscsqvzv.jpeg?q=50
26,Solid Men Light Green Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3bx5e80/track-pant/2/i/e/s-df1-pista-asdf-original-imageh9rhfcgknnp.jpeg?q=50
27,Solid Men Black Track Pants,₹199,Salvo,71% off,₹699,https://rukminim1.flixcart.com/image/660/792/l2w7b0w0/shopsy-track-pant/h/w/w/28-75-salvo-original-image4ttspkgg5cw.jpeg?q=50
28,Solid Men Dark Blue Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3bx5e80/track-pant/s/w/v/xxl-df1-navy-asdf-original-imageh9rzwntygg9.jpeg?q=50
29,Solid Men Light Green Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3dcl8w0/track-pant/w/f/d/l-df1-pista-asdf-asdf-original-imageg3kpzpzzfgc.jpeg?q=50
30,Checkered Men Multicolor Track Pants,₹199,VGPARROT,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l1tmf0w0/track-pant/j/y/b/free-n-206-vgparrot-original-imagdb2gygf3xx5j.jpeg?q=50
31,Solid Men Silver Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3dcl8w0/track-pant/v/l/q/xl-df1-grey-asdf-asdf-original-imageg3ghyyutgtb.jpeg?q=50
